sample_id,asr_transcript,agent_response,activation_path,agent_seconds,error,ground_truth,severity,word_category,speaker_id,b_label,c_label,confidence,justification,is_ambiguous,probe_says_ambiguous,output_was_confident
M16_B2_UW70_M6,Go ahead.,"Sure, how can I assist you?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M16_B2_UW70_M6.npz,0.8727564811706543,,coherent,low,uncommon_word,M16,B1,C1,high,Agent acted on incorrect transcript and moved to small talk without checking.,1,True,True
F02_B3_CW28_M2,Bye.,Goodbye!,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F02_B3_CW28_M2.npz,0.5392055511474609,,by,low,common_word,F02,B1,C1,high,Agent silently reinterprets 'by' as 'Bye' and responds warmly without checking understanding.,1,True,True
F02_B1_CW92_M8,Dang!,It seems like you're frustrated. Is there something specific you need help with?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F02_B1_CW92_M8.npz,1.4059066772460938,,day,low,common_word,F02,B1,C1,high,Agent silently reinterprets 'Dang!' as frustration and responds confidently without checking if a command was missed.,1,True,True
F02_B3_CW20_M8,Bye.,Goodbye!,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F02_B3_CW20_M8.npz,0.5389060974121094,,I,low,common_word,F02,B1,C1,high,Agent silently reinterprets 'I' as 'Bye' and responds warmly without checking understanding.,1,True,True
F02_B1_CW4_M6,Hey!,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F02_B1_CW4_M6.npz,0.9342617988586426,,a,low,common_word,F02,B1,C1,high,Agent silently reinterprets 'a' as 'Hey!' and responds warmly without checking understanding.,1,True,True
F02_B1_C10_M6,Hi!,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F02_B1_C10_M6.npz,0.9380784034729004,,Line,low,computer_command,F02,B1,C1,high,Agent interprets 'Hi!' as a command and responds warmly without checking for understanding.,1,True,True
M07_B2_UW40_M6,Good!,It seems like you're satisfied. Is there anything else you need help with?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M07_B2_UW40_M6.npz,1.414710283279419,,baths,low,uncommon_word,M07,B1,C1,high,Agent silently reinterprets 'Good!' as satisfaction and answers confidently without checking understanding.,1,True,True
M07_B1_LF_M3,Togger!,"I'm sorry, I didn't quite catch that. Could you please clarify your request?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M07_B1_LF_M3.npz,1.560220718383789,,Foxtrot,low,radio_alphabet_letter,M07,B1,C1,high,ASR error changed meaning entirely and agent acted on it confidently without checking.,1,True,True
M07_B1_CW46_M4,Yo!,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M07_B1_CW46_M4.npz,0.9292323589324952,,do,low,common_word,M07,B1,C1,high,Agent silently reinterprets 'Yo!' as greeting and responds confidently without checking understanding.,1,True,True
M07_B1_C3_M4,Do it!,Could you please provide more details about what you want me to do?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M07_B1_C3_M4.npz,1.2704453468322754,,Delete,low,computer_command,M07,B1,C1,high,"ASR error changed meaning to a command, and agent acted on it confidently without checking.",1,True,True
M07_B1_C4_M2,I hate you!,I'm here to help! Can you tell me more about what you need?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M07_B1_C4_M2.npz,1.419581174850464,,Enter,low,computer_command,M07,B1,C1,high,Agent silently reinterprets a failed command as a request for information and answers confidently without checking understanding.,1,True,True
M07_B1_CW45_M2,Shoot!,It seems like there might have been a mistake. Could you please clarify your request?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M07_B1_CW45_M2.npz,1.4766747951507568,,she,low,common_word,M07,B1,C1,high,"ASR error changed meaning to a command, and agent acted on it confidently without checking.",1,True,True
M07_B1_UW51_M6,"Bye, guys!",Goodbye! Have a great day!,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M07_B1_UW51_M6.npz,0.8779566287994385,,python,low,uncommon_word,M07,B1,C1,high,Agent silently reinterprets failed command as small talk and answers warmly without checking understanding.,1,True,True
M07_B1_C16_M4,Oh boy!,It seems like you're excited! How can I help you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M07_B1_C16_M4.npz,1.2858731746673584,,Upward,low,computer_command,M07,B1,C1,high,Agent silently reinterprets a failed command as excitement and responds warmly without checking understanding.,1,True,True
M07_B3_CW11_M8,Yeek!,It sounds like you're surprised! Is everything okay?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M07_B3_CW11_M8.npz,1.0750067234039309,,he,low,common_word,M07,B1,C1,high,Agent silently reinterprets 'he' as 'Yeek!' and responds confidently without checking understanding.,1,True,True
F02_B2_C19_M5,Wow!,It's impressive! How can I assist you further?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F02_B2_C19_M5.npz,1.0676748752593994,,Right,low,computer_command,F02,B1,C1,high,Agent silently reinterprets 'Right' as praise and answers confidently without checking understanding.,1,True,True
M11_B2_UW27_M3,Amen.,"It seems like you might have said ""amen"" by accident. How can I assist you?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M11_B2_UW27_M3.npz,1.6203575134277344,,anxieties,mid,uncommon_word,M11,B1,C1,high,Agent silently reinterprets a failed command as a statement and answers confidently without checking understanding.,1,True,True
M11_B1_C6_M3,It's okay.,"Sure, is there anything else you need help with?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M11_B1_C6_M3.npz,1.0747511386871338,,Escape,mid,computer_command,M11,B1,C1,high,Agent silently reinterprets 'Escape' as general reassurance and answers confidently without checking understanding.,1,True,True
M11_B2_UW72_M6,Come on!,"I'm here, how can I assist you?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M11_B2_UW72_M6.npz,1.022385835647583,,convulsion,mid,uncommon_word,M11,B1,C1,high,Agent acted on incorrect transcript and pivoted to social response without checking.,1,True,True
M11_B1_C18_M8,Loved.,I'm glad you loved it! Is there anything else you'd like to share or do next?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M11_B1_C18_M8.npz,1.670285701751709,,Left,mid,computer_command,M11,B1,C1,high,Agent silently reinterprets 'Loved' as a command and responds warmly without checking understanding.,1,True,True
F04_B2_C8_M3,Let's go.,Shall we start walking now?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F04_B2_C8_M3.npz,0.8019814491271973,,Control,mid,computer_command,F04,B1,C1,high,Agent silently reinterprets 'Control' as 'Let's go' and answers confidently without checking.,1,True,True
F04_B1_CW24_M4,Hello.,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F04_B1_CW24_M4.npz,0.9429020881652832,,have,mid,common_word,F04,B1,C1,high,Agent silently reinterprets 'have' as greeting and answers warmly without checking understanding.,1,True,True
F04_B1_D2_M4,See you.,Goodbye!,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F04_B1_D2_M4.npz,0.5296435356140137,,Two,mid,digit,F04,B1,C1,high,Agent silently reinterprets failed command as social exchange and answers confidently.,1,True,True
F04_B2_UW72_M5,Come over here.,"Sure, shall I come to your location now?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F04_B2_UW72_M5.npz,1.007969617843628,,convulsion,mid,uncommon_word,F04,B1,C1,high,Agent acted on incorrect transcript and moved forward without checking.,1,True,True
F04_B2_LZ_M6,Hello.,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F04_B2_LZ_M6.npz,0.9355578422546388,,Zulu,mid,radio_alphabet_letter,F04,B1,C1,high,Agent silently reinterprets failed command as small talk and answers confidently.,1,True,True
F04_B1_C13_M2,Paid.,Did you pay a bill or make a payment? Can you provide more details?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F04_B1_C13_M2.npz,1.407813310623169,,Paste,mid,computer_command,F04,B1,C1,high,Agent acted on incorrect transcription and pivoted to small talk without questioning the input.,1,True,True
F04_B1_CW11_M4,Hey.,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F04_B1_CW11_M4.npz,0.9391632080078124,,he,mid,common_word,F04,B1,C1,high,Agent silently reinterprets 'he' as 'Hey' and responds warmly without checking understanding.,1,True,True
F04_B1_C13_M7,Paid.,Did you pay a bill or make a payment? Can you provide more details?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F04_B1_C13_M7.npz,1.427543878555298,,Paste,mid,computer_command,F04,B1,C1,high,Agent acted on incorrect transcription and pivoted to small talk without questioning the input.,1,True,True
F04_B2_LH_M2,Hello?,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F04_B2_LH_M2.npz,0.9453725814819336,,Hotel,mid,radio_alphabet_letter,F04,B1,C1,high,Agent silently reinterprets failed command as small talk and answers warmly without checking understanding.,1,True,True
F04_B3_CW10_M8,Hit!,Could you please provide more context or clarify your request?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F04_B3_CW10_M8.npz,1.0626273155212402,,it,mid,common_word,F04,B1,C1,high,ASR error changed meaning to 'Hit' and agent acted on it confidently without checking.,1,True,True
M05_B3_UW7_M5,Hang on.,"Sure, I'll wait. How can I assist you further?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M05_B3_UW7_M5.npz,1.205850601196289,,hanger,mid,uncommon_word,M05,B1,C1,high,"Agent silently reinterprets 'Hang on' as a command and waits, never questioning the input.",1,True,True
M05_B2_CW80_M5,Zzzzzzzzzzzzzzzzzzzzzzzzzz,It seems like you might have fallen asleep. How can I assist you when you wake up?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M05_B2_CW80_M5.npz,1.624363660812378,,than,mid,common_word,M05,B1,C1,high,Agent silently reinterprets a failed command as a statement and answers confidently without checking understanding.,1,True,True
M05_B1_UW37_M5,I... I... was!,It seems like there might have been a misunderstanding. Could you please clarify what you meant?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M05_B1_UW37_M5.npz,1.558852195739746,,eyebrows,mid,uncommon_word,M05,B1,C1,high,"ASR error changed meaning to nonsensical, agent acted on it confidently without checking.",1,True,True
M04_B1_UW22_M5,Ren!,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M04_B1_UW22_M5.npz,0.935344696044922,,adapt,very low,uncommon_word,M04,B1,C1,high,"Agent interprets 'Ren!' as a command and initiates warm, social response without checking for understanding.",1,True,True
M12_B1_UW33_M4,Oh no!,It seems like something might be wrong. Can you please provide more details?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M12_B1_UW33_M4.npz,1.340040683746338,,composure,very low,uncommon_word,M12,B1,C1,high,Agent acted on incorrect transcript and pivoted to small talk without checking.,1,True,True
M12_B3_UW49_M4,Be wise.,"Sure, being wise is a great goal! Is there something specific you'd like to know or discuss about wisdom?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M12_B3_UW49_M4.npz,1.876241683959961,,demolish,very low,uncommon_word,M12,B1,C1,high,Agent silently reinterprets a failed command as advice and answers confidently without checking understanding.,1,True,True
M12_B2_C17_M6,"No, no, no, no.","It seems like you're saying ""no"" repeatedly. Could you please clarify what you need help with?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M12_B2_C17_M6.npz,1.7546467781066897,,Downward,very low,computer_command,M12,B1,C1,high,Agent acted on incorrect content and pivoted to small talk without recognizing the command failure.,1,True,True
M12_B3_LO_M6,"Oh, yes.",Could you please provide more details about what you need help with?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M12_B3_LO_M6.npz,1.2298462390899658,,Oscar,very low,radio_alphabet_letter,M12,B1,C1,high,"Agent silently reinterprets 'Oh, yes' as needing help and answers confidently without checking understanding.",1,True,True
M01_B1_UW88_M7,You should move your spoon.,It seems like there might have been a misunderstanding. Could you please clarify what you need help with?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M01_B1_UW88_M7.npz,1.6752960681915283,,spoon,very low,uncommon_word,M01,B1,C1,high,Agent acted on incorrect meaning without checking or asking for clarification.,1,True,True
M01_B3_CW60_M5,"So, the Shadishan, the Shadishan...","It sounds like you're trying to say ""Shadishan,"" but I'm not sure what you need. Could you please provide more context or clarify?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M01_B3_CW60_M5.npz,2.4947257041931152,,some,very low,common_word,M01,B1,C1,high,"Agent acted on presumed content without checking, pivoting to social response.",1,True,True
F03_B1_CW31_M2,Yes!,It sounds like you're excited! How can I assist you further?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F03_B1_CW31_M2.npz,1.2764160633087158,,not,very low,common_word,F03,B1,C1,high,Agent silently reinterprets 'not' as agreement and answers confidently without checking understanding.,1,True,True
F03_B2_CW68_M8,Hell yeah.,It seems like you might have said something else. Could you please clarify?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F03_B2_CW68_M8.npz,1.344102382659912,,has,very low,common_word,F03,B1,C1,high,"ASR error changed meaning to an affirmative statement, and agent acted on it confidently without checking.",1,True,True
F03_B1_CW11_M7,Hey!,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F03_B1_CW11_M7.npz,0.9392261505126952,,he,very low,common_word,F03,B1,C1,high,Agent silently reinterprets 'he' as 'Hey!' and responds warmly without checking understanding.,1,True,True
F03_B3_UW53_M4,"Freezing, freezing.",It sounds like you're feeling cold. Would you like me to check the temperature or perhaps suggest some warm clothing?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/F03_B3_UW53_M4.npz,1.8883326053619385,,professionals,very low,uncommon_word,F03,B1,C1,high,Agent silently reinterprets failed command as a statement and responds confidently without checking for clarity.,1,True,True
