sample_id,asr_transcript,agent_response,activation_path,agent_seconds,error,ground_truth,severity,word_category,speaker_id,b_label,c_label,confidence,justification
CM04_B2_UW19_M7,Adhesion.,Could you provide more context or ask a specific question about adhesion?,/kaggle/working/activations/CM04_B2_UW19_M7.npz,1.227983474731445,,adhesion,control,uncommon_word,CM04,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM04_B2_UW17_M4,Absorbed.,"I'm sorry, I didn't quite understand that. Can you please clarify or give me another command?",/kaggle/working/activations/CM04_B2_UW17_M4.npz,1.6813604831695557,,absolve,control,uncommon_word,CM04,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CM04_B3_CW86_M6,What?,"I'm sorry, I couldn't understand that. Could you please repeat or clarify your request?",/kaggle/working/activations/CM04_B3_CW86_M6.npz,1.534111499786377,,oil,control,common_word,CM04,not_applicable,C4,high,"ASR error likely due to silence or non-word, agent appropriately asked for clarification."
CM04_B1_UW32_M5,Circular.,"Could you please provide more context? Are you referring to a circle in math, or something circular in physical terms?",/kaggle/working/activations/CM04_B1_UW32_M5.npz,1.7975234985351562,,circular,control,uncommon_word,CM04,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM04_B1_CW29_M6,Word.,Could you please provide more context or ask a question?,/kaggle/working/activations/CM04_B1_CW29_M6.npz,1.0033202171325684,,word,control,common_word,CM04,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CF04_B3_CW61_M3,Okay.,Is there something specific you need help with?,/kaggle/working/activations/CF04_B3_CW61_M3.npz,0.8728747367858887,,her,control,common_word,CF04,B1,C1,high,Agent silently reinterprets 'Okay' as needing help and answers confidently without checking understanding.
CF04_B3_UW95_M5,Stars.,Could you please provide more context? Are you asking about stars or looking for information related to them?,/kaggle/working/activations/CF04_B3_UW95_M5.npz,1.5983595848083496,,stars,control,uncommon_word,CF04,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CF04_B2_UW48_M3,Pizza.,Would you like me to order a pizza or are you just mentioning it?,/kaggle/working/activations/CF04_B2_UW48_M3.npz,1.2717227935791016,,betook,control,uncommon_word,CF04,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CF04_B1_D1_M2,Okay.,Is there something specific you need help with?,/kaggle/working/activations/CF04_B1_D1_M2.npz,0.88425612449646,,One,control,digit,CF04,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CF04_B3_CW64_M8,Wipe.,Could you please clarify what you want to wipe?,/kaggle/working/activations/CF04_B3_CW64_M8.npz,0.945748805999756,,like,control,common_word,CF04,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CF04_B2_UW84_M8,Swim me.,"Could you please clarify your request? I didn't quite understand ""swim me.""",/kaggle/working/activations/CF04_B2_UW84_M8.npz,1.408489227294922,,swimming,control,uncommon_word,CF04,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CF04_B2_D5_M5,Fun.,It sounds like you're having fun! Is there anything specific I can help with?,/kaggle/working/activations/CF04_B2_D5_M5.npz,1.4026508331298828,,Five,control,digit,CF04,B1,C1,high,Agent silently reinterprets 'Five' as 'Fun' and answers confidently without checking understanding.
CM12_B3_UW47_M6,Resurquer.,"I'm sorry, I didn't understand that. Could you please repeat or clarify your request?",/kaggle/working/activations/CM12_B3_UW47_M6.npz,1.5395536422729492,,berserker,control,uncommon_word,CM12,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CM12_B3_UW42_M5,Massachusetts.,Is there something specific you'd like to know about Massachusetts?,/kaggle/working/activations/CM12_B3_UW42_M5.npz,1.0824463367462158,,Massachusetts,control,uncommon_word,CM12,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CM12_B3_CW40_M5,There.,Could you please provide more information about what you need?,/kaggle/working/activations/CM12_B3_CW40_M5.npz,1.0173256397247314,,there,control,common_word,CM12,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM12_B2_CW80_M4,Then...,Could you please provide more context or clarify your request?,/kaggle/working/activations/CM12_B2_CW80_M4.npz,1.0085937976837158,,than,control,common_word,CM12,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM12_B2_UW24_M5,Left.,Could you please clarify your request? I didn't catch that.,/kaggle/working/activations/CM12_B2_UW24_M5.npz,1.152904748916626,,aloft,control,uncommon_word,CM12,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CM12_B3_CW35_M2,We...,Could you please clarify your request? It's a bit unclear.,/kaggle/working/activations/CM12_B3_CW35_M2.npz,1.1442883014678955,,we,control,common_word,CM12,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CM12_B2_CW80_M2,Then...,Could you please provide more context or clarify your request?,/kaggle/working/activations/CM12_B2_CW80_M2.npz,1.013850450515747,,than,control,common_word,CM12,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM10_B3_UW76_M2,Mustache.,Can I help you with your mustache? Do you need information about grooming techniques or something else?,/kaggle/working/activations/CM10_B3_UW76_M2.npz,1.6191637516021729,,moustache,control,uncommon_word,CM10,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CM10_B3_CW41_M6,Use...,Could you please provide more details or complete your request?,/kaggle/working/activations/CM10_B3_CW41_M6.npz,1.021359920501709,,use,control,common_word,CM10,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM10_B2_CW95_M7,Come.,I'm here. How can I assist you?,/kaggle/working/activations/CM10_B2_CW95_M7.npz,0.9552102088928224,,come,control,common_word,CM10,not_applicable,C4,high,"ASR was correct, and agent responded appropriately to a clear command."
CM10_B1_CW46_M5,Do.,"I'm sorry, I didn't quite understand that. Could you please provide more details or rephrase your request?",/kaggle/working/activations/CM10_B1_CW46_M5.npz,1.834040880203247,,do,control,common_word,CM10,not_applicable,C4,high,"ASR correct, single word 'do' is ambiguous as a command — asking for clarification is appropriate."
CM10_B1_UW34_M6,Appetite.,It seems like you're hungry. Would you like me to suggest some recipes or find a restaurant?,/kaggle/working/activations/CM10_B1_UW34_M6.npz,1.6397039890289309,,epithet,control,uncommon_word,CM10,B1,C1,high,Agent silently reinterprets 'Appetite' as hunger and answers confidently without checking understanding.
CM10_B2_CW42_M4,And...,Could you please provide more information or ask a complete question?,/kaggle/working/activations/CM10_B2_CW42_M4.npz,1.1070702075958252,,an,control,common_word,CM10,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM10_B3_UW93_M4,Glasses.,"Could you please clarify what you need with your glasses? Are you looking to clean them, find a pair, or adjust an setting related to them?",/kaggle/working/activations/CM10_B3_UW93_M4.npz,2.2885642051696777,,glasses,control,uncommon_word,CM10,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CF05_B1_C8_M6,Control.,Could you please provide more details about what you'd like to control?,/kaggle/working/activations/CF05_B1_C8_M6.npz,1.2300193309783936,,Control,control,computer_command,CF05,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CF05_B1_CW57_M8,Vem.,"I'm sorry, that's unclear. Could you please repeat or provide more context?",/kaggle/working/activations/CF05_B1_CW57_M8.npz,1.430706262588501,,them,control,common_word,CF05,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CF05_B1_C11_M3,Paragraph.,"I'm sorry, could you please provide more context or a specific request?",/kaggle/working/activations/CF05_B1_C11_M3.npz,1.2768406867980957,,Paragraph,control,computer_command,CF05,not_applicable,C4,high,"ASR correct, single word is genuinely ambiguous as a command — asking for clarification is appropriate."
CF05_B2_CW93_M5,Dead.,"I'm sorry, I didn't understand that. Could you please provide more context or clarify your request?",/kaggle/working/activations/CF05_B2_CW93_M5.npz,1.676504135131836,,did,control,common_word,CF05,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CF05_B3_LH_M3,Hotel.,"Could you please provide more details about what you're looking for? Are you trying to book a hotel, find information about a hotel, or something else?",/kaggle/working/activations/CF05_B3_LH_M3.npz,2.3485870361328125,,Hotel,control,radio_alphabet_letter,CF05,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CF05_B1_C3_M3,Delete.,Could you please specify what you want to delete?,/kaggle/working/activations/CF05_B1_C3_M3.npz,0.9570705890655518,,Delete,control,computer_command,CF05,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CF05_B3_CW92_M3,J.,Could you please provide more context or a complete command?,/kaggle/working/activations/CF05_B3_CW92_M3.npz,1.0137650966644287,,day,control,common_word,CF05,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM09_B3_CW34_M4,Word.,Could you please provide more context or ask a question?,/kaggle/working/activations/CM09_B3_CW34_M4.npz,1.0140280723571775,,were,control,common_word,CM09,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM09_B1_CW7_M2,Is,Could you please clarify your question?,/kaggle/working/activations/CM09_B1_CW7_M2.npz,0.7647416591644287,,is,control,common_word,CM09,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CM09_B3_UW22_M3,Prodigy.,Could you please provide more details about what you'd like to do with Prodigy?,/kaggle/working/activations/CM09_B3_UW22_M3.npz,1.4802484512329102,,protege,control,uncommon_word,CM09,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CM09_B2_UW60_M6,Brotherhood.,Could you provide more context or ask a specific question about Brotherhood?,/kaggle/working/activations/CM09_B2_UW60_M6.npz,1.1509602069854736,,brotherhood,control,uncommon_word,CM09,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM09_B2_UW32_M8,Apprehend.,"I'm sorry, I didn't understand that command. Could you please provide more details or clarify?",/kaggle/working/activations/CM09_B2_UW32_M8.npz,1.6182572841644287,,apprehend,control,uncommon_word,CM09,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM09_B3_UW95_M4,Stars.,Could you please provide more context? Are you asking about stars or looking for information related to them?,/kaggle/working/activations/CM09_B3_UW95_M4.npz,1.6406588554382324,,stars,control,uncommon_word,CM09,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM09_B3_UW1_M4,Enthus.,"I'm sorry, I didn't quite understand that. Could you please repeat or clarify your request?",/kaggle/working/activations/CM09_B3_UW1_M4.npz,1.6161787509918213,,enthuse,control,uncommon_word,CM09,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CM06_B1_UW98_M5,Quick.,Could you please provide more details about what you need?,/kaggle/working/activations/CM06_B1_UW98_M5.npz,1.0204362869262695,,quack,control,uncommon_word,CM06,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CM06_B1_UW87_M2,Nice.,It's nice to hear from you. How can I assist you today?,/kaggle/working/activations/CM06_B1_UW87_M2.npz,1.2814147472381592,,knife,control,uncommon_word,CM06,B1,C1,high,"Agent silently reinterprets 'knife' as small talk and answers warmly, never questioning the input."
CM06_B3_UW92_M8,Crying.,"I'm sorry, I'm not sure how to help with that. Can you provide more context or clarify?",/kaggle/working/activations/CM06_B3_UW92_M8.npz,1.7564616203308103,,crying,control,uncommon_word,CM06,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command but agent appropriately asks for clarification."
CM06_B1_UW39_M4,Faller.,"I'm sorry, I didn't understand that. Could you please repeat or clarify your request?",/kaggle/working/activations/CM06_B1_UW39_M4.npz,1.544215440750122,,fowler,control,uncommon_word,CM06,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CM06_B2_CW9_M6,That.,Could you please provide more information or ask a complete question?,/kaggle/working/activations/CM06_B2_CW9_M6.npz,1.0877478122711182,,that,control,common_word,CM06,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM06_B3_C7_M7,Alt.,Could you please provide more context or clarify your request?,/kaggle/working/activations/CM06_B3_C7_M7.npz,1.0287854671478271,,Alt,control,computer_command,CM06,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM06_B1_UW19_M2,South East.,Could you please provide more context? Are you looking for information about South East or referring to a specific location?,/kaggle/working/activations/CM06_B1_UW19_M2.npz,1.7449572086334229,,southeast,control,uncommon_word,CM06,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CM08_B3_UW85_M8,Flowers.,Could you please provide more details about what you'd like to do with the flowers?,/kaggle/working/activations/CM08_B3_UW85_M8.npz,1.425467014312744,,flowers,control,uncommon_word,CM08,B3,C4,high,"ASR correct, agent asked for clarification appropriately."
CM08_B2_CW30_M8,But...,Could you please provide more information or ask your question again?,/kaggle/working/activations/CM08_B2_CW30_M8.npz,1.1062092781066897,,but,control,common_word,CM08,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM08_B2_UW11_M6,Supreme.,Could you please provide more details or clarify your request?,/kaggle/working/activations/CM08_B2_UW11_M6.npz,1.0407934188842771,,supreme,control,uncommon_word,CM08,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM08_B3_LZ_M3,Zulu.,I'm not sure I understand. Could you please provide more details or clarify your request?,/kaggle/working/activations/CM08_B3_LZ_M3.npz,1.5065522193908691,,Zulu,control,radio_alphabet_letter,CM08,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM08_B2_UW18_M3,Absorb.,I'm not sure I understand. Could you please provide more context or clarify your request?,/kaggle/working/activations/CM08_B2_UW18_M3.npz,1.498931884765625,,absorb,control,uncommon_word,CM08,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CM08_B3_UW44_M2,Forgetfulness.,It seems like you might need some help organizing your tasks or setting reminders. Could you please clarify how I can assist you?,/kaggle/working/activations/CM08_B3_UW44_M2.npz,1.9747405052185056,,forgetfulness,control,uncommon_word,CM08,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CM08_B1_D8_M3,8.,"I'm not sure what you mean by ""8."" Can you please provide more context or ask a complete question?",/kaggle/working/activations/CM08_B1_D8_M3.npz,1.8434207439422607,,Eight,control,digit,CM08,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CF03_B3_UW74_M5,Shoot it.,Could you please provide more context or clarify your request?,/kaggle/working/activations/CF03_B3_UW74_M5.npz,1.041581392288208,,Judith,control,uncommon_word,CF03,B1,C1,high,Agent acted on incorrect content without checking or asking for clarification.
CF03_B3_C7_M3,Alt.,Could you please provide more context or clarify your request?,/kaggle/working/activations/CF03_B3_C7_M3.npz,1.0394186973571775,,Alt,control,computer_command,CF03,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CF03_B2_LF_M7,That's trot.,"I'm sorry, I didn't understand that. Could you please clarify or repeat the command?",/kaggle/working/activations/CF03_B2_LF_M7.npz,1.5917727947235107,,Foxtrot,control,radio_alphabet_letter,CF03,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CF03_B1_UW64_M3,Choice.,Could you please provide more context or clarify your request?,/kaggle/working/activations/CF03_B1_UW64_M3.npz,1.056781768798828,,choice,control,uncommon_word,CF03,not_applicable,C4,high,"ASR correct, single word is ambiguous as command — asking for clarification is appropriate."
CF03_B1_CW100_M6,Yes.,Could you please provide more information about what you need help with?,/kaggle/working/activations/CF03_B1_CW100_M6.npz,1.1893799304962158,,yes,control,common_word,CF03,not_applicable,C4,high,ASR was correct and input was clear but agent asked for clarification.
CF03_B3_UW9_M8,Voice.,"It seems like you might have said ""Voice"" by accident. Could you please provide more context or clarify your request?",/kaggle/working/activations/CF03_B3_UW9_M8.npz,1.9311604499816888,,hoist,control,uncommon_word,CF03,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CF03_B2_UW48_M8,Leater.,"I'm sorry, I didn't quite understand that. Could you please repeat or clarify your request?",/kaggle/working/activations/CF03_B2_UW48_M8.npz,1.6370365619659424,,betook,control,uncommon_word,CF03,B3,C4,high,ASR error present but agent detected ambiguity and asked for clarification.
CM05_B1_UW66_M3,Cable stones.,"Could you please clarify? I'm not sure what you mean by ""cable stones.""",/kaggle/working/activations/CM05_B1_UW66_M3.npz,1.5330302715301514,,cobblestones,control,uncommon_word,CM05,B2,C4,high,ASR error present but agent's response was still correct and harmless.
CM05_B1_CW57_M2,Them.,Could you please provide more context or clarify your request?,/kaggle/working/activations/CM05_B1_CW57_M2.npz,1.0535295009613037,,them,control,common_word,CM05,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM05_B1_CW62_M4,Word.,Could you please provide more context or ask a question?,/kaggle/working/activations/CM05_B1_CW62_M4.npz,1.0657377243041992,,would,control,common_word,CM05,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM05_B3_UW8_M5,Hey word.,Hello! How can I assist you today?,/kaggle/working/activations/CM05_B3_UW8_M5.npz,0.9328160285949708,,Heyward,control,uncommon_word,CM05,B1,C1,high,Agent silently reinterprets a failed command as small talk and answers warmly and confidently.
CM05_B1_UW40_M8,Ha ha.,It seems like you're laughing. Is there something specific you'd like to share or discuss?,/kaggle/working/activations/CM05_B1_UW40_M8.npz,1.5964555740356443,,ha-ha,control,uncommon_word,CM05,not_applicable,C4,high,"ASR correct, single word command is genuinely ambiguous but agent appropriately asks for clarification."
CM05_B1_UW16_M5,Nevertheless...,It seems like you might need some help with that. Could you please clarify your request?,/kaggle/working/activations/CM05_B1_UW16_M5.npz,1.5301992893218994,,nevertheless,control,uncommon_word,CM05,not_applicable,C4,high,"ASR correct, single word is genuinely ambiguous as a command — asking for clarification is appropriate."
CM05_B2_CW29_M7,Word.,Could you please provide more context or ask a question?,/kaggle/working/activations/CM05_B2_CW29_M7.npz,1.0726563930511477,,word,control,common_word,CM05,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM13_B3_UW93_M5,Glasses.,"Could you please clarify what you need with your glasses? Are you looking to clean them, find a pair, or adjust an setting related to them?",/kaggle/working/activations/CM13_B3_UW93_M5.npz,2.3360846042633057,,glasses,control,uncommon_word,CM13,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CM13_B3_D4_M6,4,"I'm sorry, I didn't quite understand that. Could you please provide more context or rephrase your request?",/kaggle/working/activations/CM13_B3_D4_M6.npz,1.8743963241577148,,Four,control,digit,CM13,not_applicable,C4,high,ASR was correct and input was clear but agent asked for clarification appropriately.
CM13_B1_CW15_M4,R.,I couldn't quite understand that. Could you please repeat or clarify?,/kaggle/working/activations/CM13_B1_CW15_M4.npz,1.2646746635437012,,are,control,common_word,CM13,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CM13_B1_LR_M2,Romeo.,Could you please provide more context or clarify your request?,/kaggle/working/activations/CM13_B1_LR_M2.npz,1.0653893947601318,,Romeo,control,radio_alphabet_letter,CM13,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM13_B1_CW76_M5,Way.,"I'm sorry, I didn't understand that. Could you please clarify or repeat your request?",/kaggle/working/activations/CM13_B1_CW76_M5.npz,1.6070895195007324,,way,control,common_word,CM13,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM13_B3_D8_M7,8.,"I'm not sure what you mean by ""8."" Can you please provide more context or ask a complete question?",/kaggle/working/activations/CM13_B3_D8_M7.npz,1.895094394683838,,Eight,control,digit,CM13,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM13_B1_LN_M8,November.,Is there something specific about November you'd like to know or discuss?,/kaggle/working/activations/CM13_B1_LN_M8.npz,1.2667467594146729,,November,control,radio_alphabet_letter,CM13,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command, asking for clarification is appropriate."
CM04_B3_UW93_M8,Glasses.,"Could you please clarify what you need with your glasses? Are you looking to clean them, find a pair, or adjust an setting related to them?",/kaggle/working/activations/CM04_B3_UW93_M8.npz,2.347754716873169,,glasses,control,uncommon_word,CM04,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CM10_B3_UW68_M5,Episode,Could you provide more details about which episode you're referring to?,/kaggle/working/activations/CM10_B3_UW68_M5.npz,1.2029495239257812,,episode,control,uncommon_word,CM10,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CF04_B2_UW31_M2,Appreciable.,I'm not sure I understand. Could you please provide more details or ask a specific question?,/kaggle/working/activations/CF04_B2_UW31_M2.npz,1.607494831085205,,appreciable,control,uncommon_word,CF04,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CM08_B2_C11_M6,Paragraph.,"I'm sorry, could you please provide more context or a specific request?",/kaggle/working/activations/CM08_B2_C11_M6.npz,1.3313777446746826,,Paragraph,control,computer_command,CM08,not_applicable,C4,high,"ASR correct, single word is genuinely ambiguous as a command — asking for clarification is appropriate."
CF04_B1_UW45_M3,Legislative.,Could you clarify what you'd like to know about legislative matters?,/kaggle/working/activations/CF04_B1_UW45_M3.npz,1.2002718448638916,,legislature,control,uncommon_word,CF04,not_applicable,C4,high,"ASR correct, single word is ambiguous but agent appropriately asks for clarification."
CM06_B3_CW63_M6,Make.,Could you please provide more details or clarify your request?,/kaggle/working/activations/CM06_B3_CW63_M6.npz,1.0815706253051758,,make,control,common_word,CM06,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
CM08_B1_C2_M5,Backspace.,It looks like there might have been an error. Could you please clarify your request?,/kaggle/working/activations/CM08_B1_C2_M5.npz,1.457216501235962,,Backspace,control,computer_command,CM08,B3,C4,high,ASR correct but agent asked for clarification as input was ambiguous.
CM05_B2_D4_M5,4,"I'm sorry, I didn't quite understand that. Could you please provide more context or rephrase your request?",/kaggle/working/activations/CM05_B2_D4_M5.npz,1.8552322387695312,,Four,control,digit,CM05,not_applicable,C4,high,ASR was correct and input was clear but agent asked for clarification appropriately.
CF04_B1_CW38_M5,Okay.,Is there something specific you need help with?,/kaggle/working/activations/CF04_B1_CW38_M5.npz,0.9318602085113524,,can,control,common_word,CF04,not_applicable,C4,high,"ASR correct, single word 'can' is ambiguous, agent appropriately asks for clarification."
F05_B3_CW47_M3,How?,Could you please provide more context or ask your question again?,/kaggle/working/activations/F05_B3_CW47_M3.npz,1.1313872337341309,,how,high,common_word,F05,not_applicable,C4,high,"ASR correct, single word is genuinely ambiguous, asking for clarification is appropriate."
F05_B3_CW85_M7,Who?,Could you please provide more context or clarify who you're asking about?,/kaggle/working/activations/F05_B3_CW85_M7.npz,1.2716658115386963,,who,high,common_word,F05,not_applicable,C4,high,"ASR correct, single word is genuinely ambiguous as a command — asking for clarification is appropriate."
F05_B3_D2_M6,Two.,"I'm sorry, I didn't quite understand that. Could you please provide more context or repeat your request?",/kaggle/working/activations/F05_B3_D2_M6.npz,1.8081259727478027,,Two,high,digit,F05,not_applicable,C4,high,"ASR correct, single word is ambiguous as a command — asking for clarification is appropriate."
