word,file_code
convulsion,B2_UW72
Copenhagen,B1_UW67
Copy,C15
could,CW77
cowboys,B1_UW9
cowhide,B2_UW73
crayon,B3_UW100
crying,B3_UW92
cup,B1_UW86
cushy,B3_UW66
Cut,C14
day,CW92
Delete,C3
Delta,LD
deluge,B2_UW74
demolish,B3_UW49
designate,B3_UW43
did,CW93
digest,B2_UW75
displeasure,B2_UW76
dispossess,B2_UW77
dissatisfaction,B1_UW68
do,CW46
dodgers,B3_UW67
down,CW91
Downward,C17
dowry,B2_UW78
drum,B3_UW87
duck,B1_UW97
durable,B2_UW79
each,CW43
Echo,LE
Eight,D8
Emilio,B2_UW80
employment,B1_UW69
endowments,B2_UW81
Enter,C4
entertainer,B1_UW10
enthuse,B3_UW1
episode,B3_UW68
epithet,B1_UW34
equilibrium,B1_UW35
equilibrium,B3_UW69
Escape,C6
exactitude,B1_UW36
exaggerate,B3_UW50
exploit,B3_UW2
eyebrows,B1_UW37
faithfulness,B1_UW2
fathom,B3_UW70
Fayetteville,B3_UW3
feather,B2_UW94
find,CW89
finger,B2_UW99
fire,B3_UW96
first,CW81
fishing,B2_UW92
Five,D5
flowers,B3_UW85
foil,B3_UW4
footmarks,B1_UW38
for,CW13
forgetfulness,B3_UW44
Four,D4
fowler,B1_UW39
Foxtrot,LF
frog,B3_UW88
from,CW25
frugality,B1_UW3
futurity,B1_UW70
gentlewoman,B1_UW11
get,CW94
gigantic,B1_UW71
giggled,B1_UW12
girl,B1_UW89
glasses,B3_UW93
go,CW72
Golf,LG
good,B3_UW5
gouged,B1_UW72
goulash,B1_UW73
green,B3_UW90
greyhound,B3_UW6
Gustave,B3_UW71
had,CW27
ha-ha,B1_UW40
hallelujah,B1_UW74
hanger,B3_UW7
haranguing,B1_UW75
has,CW68
have,CW24
he,CW11
her,CW61
Heyward,B3_UW8
him,CW65
his,CW18
hoist,B3_UW9
homeopath,B3_UW72
Hotel,LH
house,B1_UW82
how,CW47
hulk,B1_UW76
hypothesis,B1_UW13
I,CW20
if,CW49
immovable,B1_UW77
in,CW6
inalienable,B1_UW41
India,LI
inexhaustible,B3_UW73
inquirers,B1_UW42
interwoven,B1_UW78
into,CW66
Iroquois,B3_UW10
irresolute,B1_UW4
is,CW7
it,CW10
its,CW87
jackdaws,B1_UW43
Joseph,B1_UW79
journalism,B1_UW44
jowls,B3_UW11
joyful,B3_UW12
Judith,B3_UW74
Juliet,LJ
jumping,B3_UW83
juries,B3_UW13
Kilo,LK
knife,B1_UW87
lamp,B2_UW86
lawyer,B3_UW14
Left,C18
legislature,B1_UW45
lethargy,B1_UW14
like,CW64
Lima,LL
Line,C10
long,CW90
look,CW69
made,CW96
make,CW63
many,CW55
Massachusetts,B3_UW42
massage,B1_UW80
may,CW97
merchandise,B1_UW15
Mike,LM
Missouri,B3_UW15
moisten,B1_UW81
monkey,B1_UW93
moonshine,B3_UW16
more,CW70
Morgantown,B3_UW75
moustache,B1_UW46
moustache,B3_UW76
mouth,B2_UW1
multiflora,B3_UW51
my,CW79
Nathaniel,B3_UW17
naturalization,B1_UW1
nausea,B3_UW77
needlepoint,B2_UW2
nevertheless,B1_UW16
newfound,B3_UW78
Nine,D9
no,CW75
nodule,B3_UW18
not,CW31
November,LN
now,CW88
nowhere,B3_UW19
number,CW74
Nuremberg,B2_UW3
observation,B3_UW52
of,CW2
oh,CW99
oil,CW86
on,CW14
One,D1
or,CW26
orange,B2_UW91
Oscar,LO
other,CW52
out,CW54
output,B3_UW20
overshadowed,B1_UW47
pajamas,B3_UW84
Papa,LP
Paragraph,C11
part,CW98
Paste,C13
pencil,B2_UW95
Pennsylvania,B1_UW17
pennyworth,B2_UW4
people,CW78
perpetual,B1_UW48
plane,B2_UW83
ploughshare,B3_UW21
powwow,B1_UW49
powwow,B3_UW79
praiseworthy,B3_UW80
professionals,B3_UW53
promulgate,B1_UW50
protege,B3_UW22
psychological,B1_UW5
python,B1_UW51
quack,B1_UW98
quadrupled,B3_UW45
Quebec,LQ
rabbit,B2_UW89
refugee,B3_UW23
regime,B3_UW24
rejoinder,B1_UW18
rendezvous,B3_UW25
resound,B3_UW26
re-united,B2_UW5
reward,B3_UW27
Right,C19
righteous,B3_UW28
ring,B2_UW98
roly-poly,B3_UW54
Romeo,LR
roof,B2_UW6
said,CW39
sandpipers,B3_UW81
Sawyer,B3_UW29
schoolyard,B2_UW7
scissors,B1_UW96
scullion,B3_UW30
see,CW73
Sentence,C12
Seven,D7
sharpshooter,B2_UW8
she,CW45
Shift,C9
shout,B3_UW31
shovel,B1_UW92
Sierra,LS
Six,D6
skyward,B2_UW9
slide,B3_UW94
so,CW59
some,CW60
soothing,B3_UW82
southeast,B1_UW19
southeasterly,B3_UW46
spoon,B1_UW88
stars,B3_UW95
stringy,B3_UW32
sugar,B2_UW10
supervision,B1_UW6
supreme,B2_UW11
swimming,B2_UW84
swoon,B3_UW33
sympathize,B3_UW34
Tab,C5
Tango,LT
telephone,B1_UW85
than,CW80
that,CW9
the,CW1
their,CW48
them,CW57
then,CW56
there,CW40
these,CW58
they,CW19
thine,B3_UW35
thirty-five,B3_UW55
this,CW23
thou,B3_UW36
Three,D3
thumb,B2_UW100
time,CW67
to,CW5
toil,B3_UW37
toothache,B2_UW12
tree,B1_UW83
Two,D2
Uniform,LU
unusual,B2_UW13
unyielding,B3_UW38
up,CW51
Upward,C16
use,CW41
vacuum,B1_UW100
Victor,LV
vouchsafe,B1_UW20
vouchsafe,B3_UW56
voyage,B2_UW14
wagon,B1_UW91
was,CW12
washerwoman,B3_UW57
watch,B2_UW82
watch,B3_UW97
watches,B2_UW85
water,CW82
way,CW76
we,CW35
were,CW34
what,CW32
when,CW36
wherewithal,B3_UW39
which,CW44
Whiskey,LW
who,CW85
will,CW50
window,B1_UW84
with,CW17
without,B3_UW40
word,CW29
would,CW62
write,CW71
X-ray,LX
Yale,B3_UW41
Yankee,LY
yellow,B1_UW99
yes,CW100
you,CW8
your,CW37
Zero,D0
zipper,B1_UW95
Zulu,LZ
